,title,type,url,description,ratings,recent_views,enrolled
0, Accounting for Mergers and Acquisitions: Foundations | Coursera,Course,https://www.coursera.org/learn/accounting-for-ma-1,"This course aims at assisting you in interpreting financial accounting information related to inter-corporate investments. The course will cover three main topics over four modules: (i) accounting for passive, significant influence, and control type of inter-corporate investments, (ii) special issues and considerations in inter-corporate investments, and (iii) special types of inter-corporate investments. The course will be useful for students to understand complex organizational structures through the lens of financial accounting information and will benefit investors, analysts, bankers, consultants, managers, and any deal-makers.",,"8,851 recent views",
1, Add Gore to Your Game in Unity,Course,https://www.coursera.org/learn/add-gore-game-unity,,,,
2, Add Ragdoll Effect to a Character in Unity,Course,https://www.coursera.org/learn/ragdoll-effect-unity,,,,
3, Advanced Topics in Derivative Pricing | Coursera,Course,https://www.coursera.org/learn/financial-engineering-advancedtopics,"This course discusses topics in derivative pricing. The first module is designed to understand the Black-Scholes model and utilize it to derive Greeks, which measures the sensitivity of option value to variables such as underlying asset price, volatility, and time to maturity. Greeks are important in risk management and hedging and often used to measure portfolio value change. Then we will analyze risk management of derivatives portfolios from two perspectivesâGreeks approach and scenario analysis. The second module reveals how optionâs theoretical price links to real market priceâby implied volatility. We will discuss pricing by volatility surface as well as explanations of volatility smile and skew, which are common in real markets. The third module involves topics in credit derivatives and structured products and focuses on Credit Debit Obligation (CDO), which played an important part in the past financial crisis starting from 2007. We will cover CDOâs definition, simple and synthetic versions of CDO, and CDO portfolios. The final module is the application of option pricing methodologies and takes natural gas and electricity related options as an example to introduce valuation methods such as dynamic programming in real options.",,"12,933 recent views","3,618 already enrolled"
4, Approve Social Media Posts with Zapier and Trello,Course,https://www.coursera.org/learn/approve-social-media-zapier-trello,,,,
5, Aprendizaje automÃ¡tico sin cÃ³digo: Azure ML Designer,Course,https://www.coursera.org/learn/aprendizaje-automatico-sin-codigo-azureml-designer,,,,
6, Assisting Public Sector Decision Makers With Policy Analysis | Coursera,Course,https://www.coursera.org/learn/assist-public-sector-decision-makers-through-policy-analysis,"Develop data analysis skills that support public sector decision-makers by performing policy analysis through all phases of the policymaking process. You will learn how to apply data analysis techniques to the core public sector principles of efficiency, effectiveness, and equity. Through authentic case studies and data sets, you will develop analytical skills commonly used to analyze and assess policies and programs, including policy options analysis, microsimulation modeling, and research designs for program and policy evaluation. You will also learn intermediate technical skills, such as Chi-squared tests and contingency tables, comparing samples through t-tests and ANOVA, applying Tukey's honest significant difference to correct for multiple tests, understanding p-values, and visualizing simulations of statistical functions to help answer questions policymakers ask such as âWhat should we do?â and âDid it work?â In addition, you will practice statistical testing and create ggplot visuals for two real-world datasets using the R programming language.All coursework is completed in RStudio in Coursera without the need to install additional software.

This is the third of four courses within the Data Analytics in the Public Sector with R Specialization. The series is ideal for current or early career professionals working in the public sector looking to gain skills in analyzing public data effectively. It is also ideal for current data analytics professionals or students looking to enter the public sector.",,"7,734 recent views",
7, AtenciÃ³n prehospitalaria del ictus agudo y selecciÃ³n de pacientes para tratamiento endovascular con la escala RACE | Coursera,Course,https://www.coursera.org/learn/ictus-agudo-escala-race,"El ictus es una emergencia mÃ©dica tiempo dependiente. En el ictus isquÃ©mico agudo, el primer objetivo es conseguir restablecer el flujo cerebral mediante tratamiento trombolÃ­tico con rTPA endovenoso o, en caso de oclusiÃ³n de gran vaso cerebral, mediante tratamiento endovascular. En el ictus hemorrÃ¡gico existen tambiÃ©n tratamientos especÃ­ficos que pueden mejorar su pronÃ³stico.El beneficio de todas las terapias disponibles en el ictus agudo es mayor cuanto antes se inicie el tratamiento, siendo esencial la organizaciÃ³n de sistemas de CÃ³digo Ictus coordinados entre los sistemas de emergencias mÃ©dicas y los centros hospitalarios para conseguir una rÃ¡pida atenciÃ³n y el inicio precoz del tratamiento.

Las escalas de valoraciÃ³n neurolÃ³gica facilitan el reconocimiento del ictus tanto a nivel hospitalario como prehospitalario y ofrecen una informaciÃ³n muy valiosa sobre la gravedad del ictus. La escala RACE es una escala prehospitalaria validada como herramienta para identificar los pacientes con sospecha de oclusiÃ³n arterial de gran vaso candidatos a tratamiento endovascular. 

Este curso pretende actualizar los conocimientos generales en el ictus agudo y los tratamientos disponibles actualmente, revisar los beneficios y el protocolo del CÃ³digo Ictus y, finalmente, entrenar en el uso de la escala RACE.

El perfil diana de este curso va dirigido a todos los Profesionales Sanitarios que trabajan en el Ã¡mbito de las urgencias y emergencias y atenciÃ³n primaria.",231 ratings,"3,616 recent views","4,257 already enrolled"
8, Automate Blog Advertisements with Zapier ,Course,https://www.coursera.org/learn/automate-blog-advertisements-zapier,,,,
9, Bases de Datos NoSQL en Azure,Course,https://www.coursera.org/learn/bases-datos-nosql-azure,,,,
